time,ts_utc,ts_et,open,high,low,close,volume
1750139100,2025-06-17 05:45:00+00:00,2025-06-17 01:45:00,22086.8,22088.8,22061.5,22081.8,2999
1750140000,2025-06-17 06:00:00+00:00,2025-06-17 02:00:00,22082,22108.8,22078.2,22101.8,3768
1750140900,2025-06-17 06:15:00+00:00,2025-06-17 02:15:00,22102.5,22123.2,21884.5,22111.2,3633
1750141800,2025-06-17 06:30:00+00:00,2025-06-17 02:30:00,22111.8,22118,22090.2,22098.5,4494
1750142700,2025-06-17 06:45:00+00:00,2025-06-17 02:45:00,22099.2,22105,22056.2,22065.8,4384
1750143600,2025-06-17 07:00:00+00:00,2025-06-17 03:00:00,22065,22089.2,22040,22048.8,7218
1750144500,2025-06-17 07:15:00+00:00,2025-06-17 03:15:00,22048.2,22058,22003.5,22026.8,9524
1750145400,2025-06-17 07:30:00+00:00,2025-06-17 03:30:00,22027,22046.8,22018.8,22035.5,5901
1750146300,2025-06-17 07:45:00+00:00,2025-06-17 03:45:00,22036,22061.2,22029,22038.8,5619
1750147200,2025-06-17 08:00:00+00:00,2025-06-17 04:00:00,22039.2,22063.5,22022.2,22053.5,5979
1750148100,2025-06-17 08:15:00+00:00,2025-06-17 04:15:00,22053.5,22062.2,22038.5,22055,3720
1750149000,2025-06-17 08:30:00+00:00,2025-06-17 04:30:00,22055,22066.8,22043,22047.5,3177
1750149900,2025-06-17 08:45:00+00:00,2025-06-17 04:45:00,22047.8,22083.5,22029,22065.2,8937
1750150800,2025-06-17 09:00:00+00:00,2025-06-17 05:00:00,22065,22085.2,22038.2,22046.2,5217
1750151700,2025-06-17 09:15:00+00:00,2025-06-17 05:15:00,22046.2,22050.8,22020,22040.2,5901
1750152600,2025-06-17 09:30:00+00:00,2025-06-17 05:30:00,22040,22047.2,21804.5,22045,3001
1750153500,2025-06-17 09:45:00+00:00,2025-06-17 05:45:00,22045.5,22051,22025.5,22034,3331
1750154400,2025-06-17 10:00:00+00:00,2025-06-17 06:00:00,22033.5,22056,22025.2,22043.5,3406
1750155300,2025-06-17 10:15:00+00:00,2025-06-17 06:15:00,22043.5,22044.2,22024.5,22029.2,2937
1750156200,2025-06-17 10:30:00+00:00,2025-06-17 06:30:00,22028.8,22034.2,21996.5,22002,7257
1750157100,2025-06-17 10:45:00+00:00,2025-06-17 06:45:00,22002,22041.2,21995.8,22039.8,5635
1750158000,2025-06-17 11:00:00+00:00,2025-06-17 07:00:00,22039,22054,21822,22048.5,3742
1750158900,2025-06-17 11:15:00+00:00,2025-06-17 07:15:00,22048.5,22071,22048,22059,4193
1750159800,2025-06-17 11:30:00+00:00,2025-06-17 07:30:00,22058.8,22069.2,22049.2,22052.2,3967
1750160700,2025-06-17 11:45:00+00:00,2025-06-17 07:45:00,22052,22075,22045.8,22072.2,4169
1750161600,2025-06-17 12:00:00+00:00,2025-06-17 08:00:00,22072.8,22087.5,22064.8,22083,6358
1750162500,2025-06-17 12:15:00+00:00,2025-06-17 08:15:00,22083.5,22093.8,22070.8,22080.8,4533
1750163400,2025-06-17 12:30:00+00:00,2025-06-17 08:30:00,22086.8,22098,22055.8,22080.8,11647
1750164300,2025-06-17 12:45:00+00:00,2025-06-17 08:45:00,22082.2,22084.5,22038.5,22052,7832
1750165200,2025-06-17 13:00:00+00:00,2025-06-17 09:00:00,22051.8,22061,22040,22044.8,6335
1750166100,2025-06-17 13:15:00+00:00,2025-06-17 09:15:00,22045.5,22065.5,22034.8,22063.2,11554
1750167000,2025-06-17 13:30:00+00:00,2025-06-17 09:30:00,22063.8,22110,22029,22035,62178
1750167900,2025-06-17 13:45:00+00:00,2025-06-17 09:45:00,22035.5,22097,22026.2,22095.5,50760
1750168800,2025-06-17 14:00:00+00:00,2025-06-17 10:00:00,22095.2,22129.5,22070,22121.2,43991
1750169700,2025-06-17 14:15:00+00:00,2025-06-17 10:15:00,22121.2,22133.8,22093,22102.5,31978
1750170600,2025-06-17 14:30:00+00:00,2025-06-17 10:30:00,22102.5,22112.2,22075,22084,31758
1750171500,2025-06-17 14:45:00+00:00,2025-06-17 10:45:00,22084.5,22110,22067.2,22076,29903
1750172400,2025-06-17 15:00:00+00:00,2025-06-17 11:00:00,22075.8,22136.5,22071.8,22130.8,30208
1750173300,2025-06-17 15:15:00+00:00,2025-06-17 11:15:00,22130.8,22132.8,22085,22090,28403
1750174200,2025-06-17 15:30:00+00:00,2025-06-17 11:30:00,22090.5,22120,22077.8,22118.5,27309
1750175100,2025-06-17 15:45:00+00:00,2025-06-17 11:45:00,22118.5,22122.8,22086,22097.5,23403
1750176000,2025-06-17 16:00:00+00:00,2025-06-17 12:00:00,22097.8,22130.2,22091,22126.8,27627
1750176900,2025-06-17 16:15:00+00:00,2025-06-17 12:15:00,22126.2,22135,22106,22109,17422
